,char,frequency
0,a,54517313
1,b,16904438
2,c,18470727
3,d,18672091
4,e,46800401
5,f,11728583
6,g,14139904
7,h,17351729
8,i,33600716
9,j,8782433
10,k,14555059
11,l,27390257
12,m,19208920
13,n,30734535
14,o,34699907
15,p,12411106
16,q,4654476
17,r,31209584
18,s,28965606
19,t,24051418
20,u,16707653
21,v,8181219
22,w,9505482
23,x,5249647
24,y,17024409
25,z,6422172
